"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","MM.LRA1"
"359","Florida","G0800650","43","12","310","Duval",NA,"0"
"360","Florida","G0800670","43","12","330","Escambia",NA,"0"
"361","Florida","G0800690","43","12","350","Flagler",NA,"1"
"362","Florida","G0800710","43","12","370","Franklin",NA,"1"
"363","Florida","G0800730","43","12","390","Gadsden",NA,"1"
"364","Florida","G0800750","43","12","410","Gilchrist",NA,"1"
"365","Florida","G0800770","43","12","430","Glades",NA,"1"
"366","Florida","G0800790","43","12","450","Gulf",NA,"1"
"367","Florida","G0800810","43","12","470","Hamilton",NA,"1"
"368","Florida","G0800830","43","12","490","Hardee",NA,"1"
"369","Florida","G0800850","43","12","510","Hendry",NA,"1"
"370","Florida","G0800870","43","12","530","Hernando",NA,"1"
"371","Florida","G0800890","43","12","550","Highlands",NA,"1"
"372","Florida","G0800910","43","12","570","Hillsborough",NA,"0"
"373","Florida","G0800930","43","12","590","Holmes",NA,"1"
"374","Florida","G0800950","43","12","610","Indian River",NA,"1"
"375","Florida","G0800970","43","12","630","Jackson",NA,"1"
"376","Florida","G0800990","43","12","650","Jefferson",NA,"1"
"377","Florida","G0801010","43","12","670","Lafayette",NA,"1"
"378","Florida","G0801070","43","12","690","Lake",NA,"1"
"379","Florida","G0801030","43","12","710","Lee",NA,"1"
"380","Florida","G0801050","43","12","730","Leon",NA,"1"
"381","Florida","G0801070","43","12","750","Levy",NA,"1"
"382","Florida","G0801090","43","12","770","Liberty",NA,"1"
"383","Florida","G0801110","43","12","790","Madison",NA,"1"
"384","Florida","G0801130","43","12","810","Manatee",NA,"1"
"385","Florida","G0801150","43","12","830","Marion",NA,"1"
"386","Florida","G0801170","43","12","850","Martin",NA,"1"
"387","Florida","G0801190",NA,"12","86","Miami-Dade County",NA,"0"
"388","Florida","G0801210","43","12","870","Monroe",NA,"1"
"389","Florida","G0801230","43","12","890","Nassau",NA,"1"
"390","Florida","G0801250","43","12","910","Okaloosa",NA,"1"
"391","Florida","G0900010","43","12","930","Okeechobee",NA,"1"
"392","Florida","G0900030","43","12","950","Orange",NA,"1"
"393","Florida","G0900050","43","12","970","Osceola",NA,"1"
"394","Florida","G0900070","43","12","990","Palm Beach",NA,"1"
"395","Florida","G0900090","43","12","1010","Pasco",NA,"1"
"396","Florida","G0900110","43","12","1030","Pinellas",NA,"1"
"397","Florida","G0900130","43","12","1050","Polk",NA,"1"
"398","Florida","G0900150","43","12","1070","Putnam",NA,"1"
"399","Florida","G1000050","43","12","1130","Santa Rosa",NA,"1"
"400","Florida","G1100010","43","12","1150","Sarasota",NA,"1"
"401","Florida","G1200010","43","12","1170","Seminole",NA,"1"
"402","Florida","G1000010","43","12","1090","St Johns",NA,"1"
"403","Florida","G1000030","43","12","1110","St Lucie",NA,"1"
"404","Florida","G1200030","43","12","1190","Sumter",NA,"1"
"405","Florida","G1200050","43","12","1210","Suwannee",NA,"1"
"406","Florida","G1200070","43","12","1230","Taylor",NA,"1"
"407","Florida","G1200090","43","12","1250","Union",NA,"1"
"408","Florida","G1200110","43","12","1270","Volusia",NA,"1"
"409","Florida","G1200130","43","12","1290","Wakulla",NA,"1"
"410","Florida","G1200150","43","12","1310","Walton",NA,"1"
"411","Florida","G1200170","43","12","1330","Washington",NA,"1"
"412","Georgia","G1200190","44","13","10","Appling",NA,"1"
"413","Georgia","G1200210","44","13","30","Atkinson",NA,"1"
"414","Georgia","G1200230","44","13","50","Bacon",NA,"1"
"415","Georgia","G1200250","44","13","70","Baker",NA,"1"
"416","Georgia","G1200270","44","13","90","Baldwin",NA,"1"
"417","Georgia","G1200290","44","13","110","Banks",NA,"1"
"418","Georgia","G1200310","44","13","130","Barrow",NA,"1"
"419","Georgia","G1200330","44","13","150","Bartow",NA,"1"
"420","Georgia","G1200350","44","13","170","Ben Hill",NA,"1"
"421","Georgia","G1200370","44","13","190","Berrien",NA,"1"
"422","Georgia","G1200390","44","13","210","Bibb",NA,"0"
"423","Georgia","G1200410","44","13","230","Bleckley",NA,"1"
"424","Georgia","G1200430","44","13","250","Brantley",NA,"1"
"425","Georgia","G1200450","44","13","270","Brooks",NA,"1"
"426","Georgia","G1200470","44","13","290","Bryan",NA,"1"
"427","Georgia","G1200490","44","13","310","Bulloch",NA,"1"
"428","Georgia","G1200510","44","13","330","Burke",NA,"1"
"429","Georgia","G1200530","44","13","350","Butts",NA,"1"
"430","Georgia","G1200550","44","13","370","Calhoun",NA,"1"
