"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","black_population","total_population","cty_percentage"
"428","Georgia","G1200510","44","13","330","Burke",NA,410080,2759548,0.148604046749685
"429","Georgia","G1200530","44","13","350","Butts",NA,162768,577036,0.282075988326552
"430","Georgia","G1200550","44","13","370","Calhoun",NA,1377512,8375494,0.164469343539617
"431","Georgia","G1200570","44","13","390","Camden",NA,2890494,14808576,0.195190543641738
"432","Georgia","G1200610","44","13","430","Candler",NA,65540,262198,0.249963767839572
"433","Georgia","G1200630","44","13","450","Carroll",NA,868206,12727756,0.0682135955466148
"434","Georgia","G1200650","44","13","470","Catoosa",NA,42084,1588426,0.0264941520725548
"435","Georgia","G1200670","44","13","490","Charlton",NA,97230,315222,0.308449283362202
"436","Georgia","G1200690","44","13","510","Chatham",NA,2985460,8461548,0.352826693177182
"437","Georgia","G1200710","44","13","530","Chattahoochee",NA,51940,265760,0.195439494280554
"438","Georgia","G1200730","44","13","550","Chattooga",NA,62740,602268,0.104172893130633
"439","Georgia","G1200750","44","13","570","Cherokee",NA,915646,11578360,0.0790825298228765
"440","Georgia","G1200770","44","13","590","Clarke",NA,1241488,4507316,0.275438420558931
"441","Georgia","G1200790","44","13","610","Clay",NA,1402206,16836214,0.0832851138622971
"442","Georgia","G1200810","44","13","630","Clayton",NA,4704656,7068126,0.665615751615067
"443","Georgia","G1200830","44","13","650","Clinch",NA,44026,160740,0.273895732238397
"444","Georgia","G1200850","44","13","670","Cobb",NA,4887816,17644806,0.277011603301277
"445","Georgia","G1200860","44","13","690","Coffee",NA,557554,3584952,0.155526210671719
"446","Georgia","G1200870","44","13","710","Colquitt",NA,258444,1096178,0.235768278509512
"447","Georgia","G1200890","44","13","730","Columbia",NA,1253102,11455794,0.109385870590899
"448","Georgia","G1200910","44","13","750","Cook",NA,30544330,125292396,0.243784387362183
"449","Georgia","G1200930","44","13","770","Coweta",NA,605694,3347728,0.180926885338355
"450","Georgia","G1200950","44","13","790","Crawford",NA,204010,8251950,0.0247226413150831
"451","Georgia","G1200970","44","13","810","Crisp",NA,243486,549570,0.443048201321033
"452","Georgia","G1200990","44","13","830","Dade",NA,5636,573980,0.00981915746193247
"453","Georgia","G1201010","44","13","850","Dawson",NA,59024,1684286,0.0350439295939051
"454","Georgia","G1201030","44","13","870","Decatur",NA,290132,1822880,0.159161327130694
"455","Georgia","G1201050","44","13","890","DeKalb",NA,9967930,23648342,0.421506505614643
"456","Georgia","G1201070","44","13","910","Dodge",NA,231200,3986054,0.0580022247566139
"457","Georgia","G1201090","44","13","930","Dooly",NA,167000,335260,0.498120861420987
"458","Georgia","G1201110","44","13","950","Dougherty",NA,1520496,2184936,0.695899559529432
"459","Georgia","G1201130","44","13","970","Douglas",NA,3364802,34766672,0.0967824012606096
"460","Georgia","G1201150","44","13","990","Early",NA,126438,250076,0.505598298117372
"461","Georgia","G1201170","44","13","1010","Echols",NA,5556,95582,0.0581280994329476
"462","Georgia","G1201190","44","13","1030","Effingham",NA,199520,2224696,0.0896841635890926
"463","Georgia","G1201210","44","13","1050","Elbert",NA,142752,1065948,0.133920228754123
"464","Georgia","G1201230","44","13","1070","Emanuel",NA,187030,541088,0.345655420190431
"465","Georgia","G1201250","44","13","1090","Evans",NA,80350,257986,0.311451008969479
"466","Georgia","G1201270","44","13","1110","Fannin",NA,59426,1423240,0.0417540260251258
