,STATE,GISJOIN,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.SV2,GR.LRA2,GR.LRA3,MM.LRA1,EP.SV1,EP.LRA1,EP.SV2,EP.LRA2,EP.SV3,cty_percentage
243,California,G0501010,6,690,San Benito,0,0,0,1,0,0,0,0,0,0.0145478503441412
244,California,G0501030,6,710,San Bernardino,0,1,0,1,0,0,1,1,0,0.0953505326024402
245,California,G0501050,6,730,San Diego,0,0,0,1,1,1,1,1,0,0.0554631074408117
246,California,G0501070,6,750,San Francisco,0,0,0,0,0,1,0,1,0,0.057585840047562
247,California,G0501090,6,770,San Joaquin,1,1,0,1,1,1,0,0,0,0.0821933981421335
248,California,G0501110,6,790,San Luis Obispo,0,1,0,1,0,0,0,0,0,0.0211633899099755
249,California,G0501130,6,810,San Mateo,0,0,0,1,1,1,1,0,0,0.0288251203689502
250,California,G0501150,6,830,Santa Barbara,0,1,0,1,0,0,0,0,0,0.0239476006620959
251,California,G0501170,6,850,Santa Clara,0,0,0,1,1,1,0,0,0,0.0284212925500506
252,California,G0501190,6,870,Santa Cruz,0,0,0,1,0,0,0,0,0,0.0131427371980603
253,California,G0501210,6,890,Shasta,1,1,0,1,0,0,0,0,0,0.0106494613706343
254,California,G0501230,6,910,Sierra,1,1,0,1,0,0,0,0,0,0.0065091442133184
255,California,G0501250,6,930,Siskiyou,1,1,0,1,0,0,0,0,0,0.0144779515165835
256,California,G0501270,6,950,Solano,1,1,0,1,0,0,1,1,1,0.149322994001164
257,California,G0501290,6,970,Sonoma,0,0,0,1,0,0,0,0,0,0.0195767475968204
258,California,G0501310,6,990,Stanislaus,1,1,0,1,0,0,0,0,0,0.0340223321555651
259,California,G0501330,6,1010,Sutter,1,1,0,1,0,0,0,0,0,0.0253410115286375
260,California,G0501350,6,1030,Tehama,1,1,0,1,0,0,0,0,0,0.0094242878482277
261,California,G0501370,6,1050,Trinity,1,1,0,1,0,0,0,0,0,0.052161561824748
262,California,G0501390,6,1070,Tulare,1,1,0,1,0,0,0,0,0,0.021946571314884
263,California,G0501410,6,1090,Tuolumne,1,1,0,1,0,0,0,0,0,0.0208569255471985
264,California,G0501430,6,1110,Ventura,0,1,0,1,0,0,0,0,0,0.0227776990538619
265,California,G0501450,6,1130,Yolo,1,1,0,1,1,1,0,0,0,0.0291892541034143
266,California,G0501470,6,1150,Yuba,1,1,0,1,0,0,0,0,0,0.041076998669486
267,Colorado,G0501490,8,10,Adams,1,1,0,1,0,1,1,1,0,0.0498043058612017
268,Colorado,G0600010,8,30,Alamosa,1,1,0,1,0,0,0,0,0,0.0174921630094044
269,Colorado,G0600030,8,50,Arapahoe,1,1,0,1,0,1,1,1,0,0.111475053964806
270,Colorado,G0600050,8,70,Archuleta,1,1,0,1,0,0,0,0,0,0.0061530333487964
271,Colorado,G0600070,8,90,Baca,1,1,0,1,0,0,0,0,0,0.009210556538117
272,Colorado,G0600090,8,110,Bent,1,1,0,1,0,0,0,0,0,0.0748147830928012
273,Colorado,G0600110,8,130,Boulder,1,1,0,1,0,0,0,0,0,0.0109729772365329
274,Colorado,G0600130,8,14,Broomfield County,1,1,0,1,0,0,0,0,0,0.09663684954905406
275,Colorado,G0600150,8,150,Chaffee,1,1,0,1,0,0,0,0,0,0.0174003026139585
276,Colorado,G0600170,8,170,Cheyenne,1,1,0,1,0,0,0,0,0,0.004962997251894
277,Colorado,G0600190,8,190,Clear Creek,1,1,0,1,0,0,0,0,0,0.0088665807744613
278,Colorado,G0600210,8,210,Conejos,1,1,0,1,0,0,0,0,0,0.0083333333333333
