STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
Florida,Hamilton,Naur,Yes,Yes
Florida,Hardee,Naur,Yes,Yes
Florida,Hendry,Naur,Yes,Yes
Florida,Hernando,Naur,Yes,Yes
Florida,Highlands,Naur,Naur,Yes
Florida,Hillsborough,Yes,Yes,Yes
Florida,Holmes,Naur,Yes,Yes
Florida,Indian River,Naur,Naur,Yes
Florida,Jackson,Naur,Yes,Yes
Florida,Jefferson,Naur,Yes,Yes
Florida,Lafayette,Naur,Yes,Yes
Florida,Lake,Naur,Yes,Yes
Florida,Lee,Naur,Yes,Yes
Florida,Leon,Naur,Yes,Yes
Florida,Levy,Naur,Yes,Yes
Florida,Liberty,Naur,Yes,Yes
Florida,Madison,Naur,Yes,Yes
Florida,Manatee,Naur,Yes,Yes
Florida,Marion,Naur,Yes,Yes
Florida,Martin,Naur,Naur,Yes
Florida,Miami-Dade County,Naur,Yes,Yes
Florida,Monroe,Naur,Naur,Yes
Florida,Nassau,Naur,Yes,Yes
Florida,Okaloosa,Naur,Yes,Yes
Florida,Okeechobee,Naur,Naur,Yes
Florida,Orange,Naur,Yes,Yes
Florida,Osceola,Naur,Yes,Yes
Florida,Palm Beach,Naur,Yes,Yes
Florida,Pasco,Naur,Yes,Yes
Florida,Pinellas,Yes,Yes,Yes
Florida,Polk,Naur,Yes,Yes
Florida,Putnam,Naur,Yes,Yes
Florida,Santa Rosa,Naur,Yes,Yes
Florida,Sarasota,Naur,Yes,Yes
Florida,Seminole,Naur,Yes,Yes
Florida,St Johns,Naur,Yes,Yes
Florida,St Lucie,Naur,Naur,Yes
Florida,Sumter,Naur,Yes,Yes
Florida,Suwannee,Naur,Yes,Yes
Florida,Taylor,Naur,Yes,Yes
Florida,Union,Naur,Yes,Yes
Florida,Volusia,Naur,Yes,Yes
Florida,Wakulla,Naur,Yes,Yes
Florida,Walton,Naur,Yes,Yes
Florida,Washington,Naur,Yes,Yes
Georgia,Appling,Naur,Yes,Yes
Georgia,Atkinson,Naur,Yes,Yes
Georgia,Bacon,Naur,Yes,Yes
Georgia,Baker,Naur,Yes,Yes
Georgia,Baldwin,Naur,Yes,Yes
Georgia,Banks,Naur,Naur,Yes
Georgia,Barrow,Naur,Naur,Yes
Georgia,Bartow,Naur,Naur,Yes
Georgia,Ben Hill,Naur,Yes,Yes
Georgia,Berrien,Naur,Yes,Yes
Georgia,Bibb,Naur,Yes,Yes
Georgia,Bleckley,Naur,Yes,Yes
Georgia,Brantley,Naur,Yes,Yes
Georgia,Brooks,Naur,Yes,Yes
Georgia,Bryan,Naur,Yes,Yes
Georgia,Bulloch,Naur,Yes,Yes
Georgia,Burke,Naur,Yes,Yes
Georgia,Butts,Naur,Yes,Yes
Georgia,Calhoun,Naur,Yes,Yes
Georgia,Camden,Naur,Yes,Yes
Georgia,Candler,Naur,Yes,Yes
Georgia,Carroll,Naur,Naur,Yes
Georgia,Catoosa,Naur,Naur,Yes
Georgia,Charlton,Naur,Yes,Yes
Georgia,Chatham,Naur,Yes,Yes
Georgia,Chattahoochee,Naur,Yes,Yes
Georgia,Chattooga,Naur,Naur,Yes
Georgia,Cherokee,Naur,Naur,Yes
Georgia,Clarke,Naur,Yes,Yes
Georgia,Clay,Naur,Yes,Yes
Georgia,Clayton,Yes,Naur,Yes
Georgia,Clinch,Naur,Yes,Yes
Georgia,Cobb,Naur,Naur,Yes
Georgia,Coffee,Naur,Yes,Yes
Georgia,Colquitt,Naur,Yes,Yes
Georgia,Columbia,Naur,Yes,Yes
Georgia,Cook,Naur,Yes,Yes
Georgia,Coweta,Naur,Naur,Yes
Georgia,Crawford,Naur,Yes,Yes
Georgia,Crisp,Naur,Yes,Yes
Georgia,Dade,Naur,Naur,Yes
Georgia,Dawson,Naur,Naur,Yes
Georgia,Decatur,Naur,Yes,Yes
Georgia,DeKalb,Yes,Naur,Yes
Georgia,Dodge,Naur,Yes,Yes
Georgia,Dooly,Naur,Yes,Yes
Georgia,Dougherty,Naur,Yes,Yes
Georgia,Douglas,Naur,Naur,Yes
Georgia,Early,Naur,Yes,Yes
Georgia,Echols,Naur,Yes,Yes
Georgia,Effingham,Naur,Yes,Yes
Georgia,Elbert,Naur,Yes,Yes
Georgia,Emanuel,Naur,Yes,Yes
Georgia,Evans,Naur,Yes,Yes
Georgia,Fannin,Naur,Naur,Yes
Georgia,Fayette,Naur,Naur,Yes
Georgia,Floyd,Naur,Naur,Yes
